School,,,,,,
,USN Rank,Dates,Financial Aid Available?,Financial Aid Info,,
Yale,1,"April 5-7
April 24",,,,
Stanford,2,"April 17 (minority preview day)
April 18-20",,,,Pleae help by adding any that you know!
"Harvard
",3,"March 5-7
April 16-18",,"Max Subsidy dependent on distance (miles):
50-150: $75
151-250: $100
251-450: $150
451-1200: $200
1201+: $300",,
Chicago,4,"April 2-4

Day in the Life Events:
February 28
April 13",,"Up to $200 for travel expenses
",,
Columbia,5,"March 4-5
April 1-2

Mondays at Columbia events:
February 17
April 20",Yes,"Travel reimbursement available via request form; email admit@law.columbia.edu for the form. Only reimburse travel expenses, no hotel or food compensation.",,
NYU,6,"March 5-6
March 26-27
April 16-17",,,,
Penn,7,March 27-28,,,,
UVA,8,March 19-20,Yes,"https://www.law.virginia.edu/admissions/admitted-students-open-house#travel

Travel reimbursement amount depends on where you live. Nothing if you live in-county, $100 if you live in DMV area, and then either $250 or $400 depending on which state you live in. $400 for international.",,
Michigan,9,"March 19-20
April 2-4",Yes,Details to come,,
Duke,10,March 26-28,Yes,"300, can only be used towards travel (airfare, mileage, bus/train) OR lodging but not both.",,
Northwestern,10,April 3-4,,,,
UC Berkeley,10,March 12-14 (Cancelled),,"$375 for out of state students, $175 for in-state. Available to all students",,
Cornell,13,"March 20, April 10",,$300 travel stipend but it may vary on where you live,,
Georgetown,14,"January 23-24
March 26-27",,,,
UCLA,15,"February 24
March 16 (SF)
March 24 (DC)
March 26 (NYC)
April 5",,,,
U. Texas (Austin),16,"April 2-3

Receptions:
February 26 (LA)
March 4 (Houston
March 11 (Dallas)
March 25 (DC)
March 31 (NY)",,,,
U. of Southern California,17,"February 28
March 13
March 27

Regional receptions:
March 16 (Chicago)
March 17 (DC)
March 18 (NYC)
March 31 (San Fran)",,"$200 if driving, $400 if flying from out of state",,
Vanderbilt,18,"March 12-14
April 2-4",Yes,"Reimbursements for both individual visits and admitted students programs

ASPs: up to $500 for airfare and either accommodations with students or 100$ reimbursement a night for airbnb/hotels

Individual visits: 250$ for airfare",,
Washington University (St. Louis),18,April 2-4,,,,
Minnesota,20,"March 21
April 2-4",,,,
Notre Dame,21,"March 20
April 3",,,,
George Washington,22,"February 6 (DC)
February 26 (NYC)
February 27 (Miami)
March 5 (LA)
March 10 (Seattle)
March 12 (Salt Lake)
March 18 (Boston)
April 3 (DC Preview Day)",Yes - Preview Day Only,"Up to $250, save receipts, turned in after orientation (so only provided if you matriculate)",,
Boston U.,23,"March 20
March 27",,300$ travel stipend that will cover flights one way and lodging.,,
U. California (Irvine),23,,,,,
Alabama,25,"February 14
March 27",,,,
Emory,26,March 28,,Free hotel acommodations; up to $500 for addt'l travel expenses (only provided if you marticulate),,
Arizona State,27,"December 20
March 27
May 15",Yes,Up to $500,,
Boston College,27,"2/28
3/28",,,,
U. Georgia,27,March 28,,,,
Iowa,27,March 13-14,Yes,$450 for students who matriculate,,
U. California (Davis),31,April 3-4,,$150 if travelling more that 250 miles,,
U. Florida,31,"March 20
April 3",Yes,"$500 if traveling by plane, $300 if driving",,
Wake Forest,31,"February 28
March 28",,,,
Indiana - Bloomington,34,"February 29
March 28",Yes,$400,,
Ohio State,34,"March 6-7
April 3-4",Yes,Hotel covered if >75 miles away,,
U. North Carolina (Chapel Hill),34,"March 27
April 3",,,,
Wisconsin Madison,34,March 27-28,,,,
Washington & Lee,34,"March 6-7
March 27-28",Yes,"Up to $500, less if you request a single room",,
Brigham Young,39,,,,,
Fordham,39,"February 7
March 7
April 3",,"If traveling from more than a 200 mile radius of NYC campus: Up to $300.00 for an admitted student day event

Up to $200 for an individual visit on a non-event date",,
U Arizona,39,,,,,
U Illinois UC,39,April 3,,Up to $400 in travel assistance,,
William & Mary,39,March 27-28,,They offer discounted hotel rates on the website,,
U Washington,44,"April 2 (informal reception)
April 3",,Up to $250 for students traveling more than 150 miles (one way),,
George Mason,45,,,,,
U Colorado Boulder,45,"March 6
April 17",,,,
U Utah,47,,,,,
Baylor,48,,,,,
"Florida State
",48,,,,,
Temple,48,,,,,
Pepperdine,51,,,,,
Southern Methodist,52,,,,,
Tulane,52,,,,,
UConn,52,March 21,,,,
U Maryland,52,"February 29
March 28
April 3",,,,
U Richmond,52,"February 28
April 3
April 18",,Can apply for up to $300 if you are traveling over 200 miles,,
Cardozo,52,"February 17
March 19
April 7",,,,
U. Nevada (Las Vegas),58,,,,,
Seton Hall,59,,,,,
U Houston,59,,,,,
U Tennessee - Knoxville,59,,,,,
Loyal Marmount University,62,,,,,
UC Hastings,62,,,,,
Northeastern,64,,,,,
Penn State (University Park),64,"Feb. 29
March 21
March 28",Yes,"$300 in travel expenses, $500 for an Admitted Students Program. Qualifying expenses include airfare, mileage, tolls, and hotel fees (room and tax only, up to $150). Travel costs in excess of $300 are the student’s responsibility. Travel reimbursements do not cover meals.",,
University of Missouri,64,,,,,
Georgia State University,67,,,,,
U. Denver (Sturm),67,March 13,,,,
U. Kansas,67,,,,,
U. Miami,67,March 26-28,,,,
Brooklyn Law School,71,,,,,
Case Western Reserve,71,"March 6
March 20",Yes,$300 travel reimbursement,,
Penn State (Dickinson),71,"Feb. 21
March 20
April 3",,Dickinson covers the cost of a hotel room if you stay in the one they have blocked + $300 in travel costs.,,
U. Kentucky,71,,,,,
U. Oklahoma,71,,,,,
Villanova,71,,,,,
American,77,"March 27
April 17",,,,
Loyola,77,,,,,
Rutgers,77,,,,,
St. John's,77,,,,,
U. Nebraska (Lincoln),77,,,,,
U. Pittsburgh,77,,,,,
Texas A&M,83,,,,,
U. Cincinnati,83,"March 6
April 3",,,,
U. Oregon,83,,,,,
U. San Diego,86,,,,,
Illinois Institute of Tech (Chicago Kent),87,,,,,
U. New Hampshire,87,"March 14
April 4",,,,
U. Tulsa,87,,,,,
Saint Louis,90,,,,,
Florida International,91,,,,,
Marquette,91,,,,,
Michigan State,91,,,,,
Syracuse,91,,,,,
U. Arkansas (Fayetteville),91,,,,,
U. Hawaii (Richardson),91,,,,,
U. New Mexico,91,,,,,
U. South Carolina,91,,,,,
Wayne State,91,,,,,
Drexel (Kline),100,,,,,
Hofstra (Deane),100,,,,,
Louisian State (Hebert),100,,,,,
West Virginia,100,,,,,
Santa Clara,104,,,,,
Catholic,108,,,,,
Indiana (McKinney),108,,,,,
U. Mississippi (Ole Miss),108,,,,,
U. Maine,126,April 2-3,No,,,
Suffolk,143,,,,,
Widener (Commonwealth),UR,,,,,
