School,USN Rank,Seat Deposit Deadline 1,Seat Deposit Deadline 2,Scholarship Deposit Deadline(s),Notes
Yale,1,May 1,,,2020
Stanford,2,May 1,,,2019
Harvard,3,"May 1, $0",,,2019
Chicago,4,May 1,,"Rubenstein, April 15",2019
Columbia,5,"May 1, $600",,"Hamilton, May 1",2020
NYU,6,"May 1, $600",,"Vanderbilt, April 1",2020
Penn,7,"May 1, $500",,"Levy Scholarship, 12pm, April 17
Toll Scholarship, 48 hrs after offer",2020
UVA,8,"April 30, $500",June 1,,2020
Michigan,9,April 30,,,2019
Duke,10,"May 4, $500",,,2020
Northwestern,10,April 30 (noon CST),,,2019
UC Berkeley,10,"May 1, $0","June 1, $0",,2019
Cornell,13,April 15,,,2019
Georgetown,14,"May 1, $1000","June 1, $1500","4/1, to commit and accept merit aid, but seat deposit still due by 5/1",2020
UCLA,15,April 15,June 14,,2019
U. Texas (Austin),16,"April 15, $200","June 15th, Letter of intent in lieu of 2nd deposit",,2020
U. of Southern California,17,May 1,July 1,,2019
Vanderbilt,18,"April 8, $500","May 13, $500",,2020
Washington University (St. Louis),18,"April 15, $500","June 1, $500",,2020
Minnesota,20,April 15,,,2019
Notre Dame,21,April 15,June 1,,2019
George Washington,22,"April 15, $500","June 1, $1000",,"2020
3rd deposit: July 1, $1500"
Boston U.,23,April 15,,,2019
U. California (Irvine),23,April 15,,,2019
Alabama,25,Varies based on date of admission,,,2019
Emory,26,April 15,June 3,,2019
Arizona State,27,April 1,May 1,Some scholarship awards reduced if no commitment by March 1,2019
Boston College,27,"April 15, $500","May 18, $500",,2020
U. Georgia,27,"April 15, $150*",June 1,,"2020
*Reduced to $50 if you visit before deadline"
Iowa,27,April 1,June 1,,2019
U. California (Davis),31,"April 15, $500","June 1, $500",,2019
U. Florida,31,April 1,,,2019
Wake Forest,31,April 1,June 1,,2020
Indiana - Bloomington,34,"April 8, $0",,,2019
Ohio State,34,"April 1, $225*",,,"2020
*April 8 if you attend April ASW"
U. North Carolina (Chapel Hill),34,April 13,June 15,,2020
Wisconsin - Madison,34,May 1,June 1,,2019
Washington & Lee,34,April 15,June 1,,2019
Brigham Young,39,April 5,June 3,,2019
Fordham,39,"April 15, $400","June 1, $600",,2020
U Arizona,39,April 2,,,2019
U Illinois UC,39,April 13,May 18,,2019
William & Mary,39,May 1,,,2020
U Washington,44,May 1,,,2019
George Mason,45,April 15,June 1,,2019
U Colorado - Boulder,45,"May 24, $200","May 15, $750",,2020
U Utah,47,April 3,,,2020
Baylor,48,"May 1, $500",June 1,,2020
Florida State,48,$200,,,2020
Temple,48,April 15,June 15,,2019
Pepperdine,51,"April 1, $400","April 20, $600",,2020
Southern Methodist,52,"April 8, $700",,,2019
Tulane,52,"May 1, $300","June 1, $700",,2020
UConn,52,"April 15, $250*","June 1, $250",,"2020 
*You now have the option of paying $100 for the initial deposit, and the rest by June 1."
U Maryland,52,"April 3, $250","June 1, $250",,2020
U Richmond,52,April 15,June 1,,2020
Cardozo,52,"April 20, $600","June 1, $600",,2020
U. Nevada (Las Vegas),58,"April 3, $0","June 5, $500",,2020
Seton Hall,59,"April 1, $400","June 1, $600",,2020
U Houston,59,,,,
U Tennessee - Knoxville,59,,,,
Loyal Marmount University,62,"April 20, $350",,,2020
UC Hastings,62,"April 24, $500",,,
Northeastern,64,April 15,,,
Penn State (University Park),64,"April 15, $750","June 10, $750",,2020
University of Missouri,64,,,,
Georgia State University,67,,,,
U. Denver (Sturm),67,"April 16, $500","June 4, $300",,2020
U. Kansas,67,,,,
U. Miami,67,"April 15, $500","June 1, $500",,2020
Brooklyn Law School,71,"April 15, $325","June 1, $600",,2020
Case Western Reserve,71,April 15,,April 15,2020
Penn State (Dickinson),71,"April 15, $500"," June 15, $500",,2020
U. Kentucky,71,,,,
U. Oklahoma,71,"April 15, $500",,,
Villanova,71,,,,
American,77,,,,
Loyola,77,,,,
Rutgers,77,"April 15, $300",,,2020
St. John's,77,April 15,,,
U. Nebraska (Lincoln),77,,,,
U. Pittsburgh,77,,,,
Texas A&M,83,,,,
U. Cincinnati,83,April 15,June 15,,2020
U. Oregon,83,"April 15, $300","June 1, $300",,
U. San Diego,86,"April 30, $300","June 1, $600",,2020
Illinois Institute of Tech (Chicago Kent),87,,,,
U. New Hampshire,87,,,,
U. Tulsa,87,,,,
Saint Louis,90,,,,
Florida International,91,,,,
Marquette,91,,,,
Michigan State,91,,,,
Syracuse,91,"May 22, $100",,,
U. Arkansas (Fayetteville),91,,,,
U. Hawaii (Richardson),91,,,,
U. New Mexico,91,,,,
U. South Carolina,91,,,,
Wayne State,91,,,,
Drexel (Kline),100,,,,
Hofstra (Deane),100,"April 15, $400",,,
Louisian State (Hebert),100,,,,
West Virginia,100,,,,
Santa Clara,104,,,,
Albany,106,"April 10, $500",,,
Catholic,108,,,,
Indiana (McKinney),108,,,,
U. Mississippi (Ole Miss),108,,,,
Duquesne U,122,,,,
U. Maine,126,April 15,June 1,,2020
Suffolk,143,,,,
Widener (Commonwealth),UR,,,,
