School,USN Rank,Application Fee,University Fee Waiver Offered,CAS Fee Waiver Offered,Comments/Links,,Key/Notes
Yale,1,$85,Yes - need,,https://fap.lsac.org/prospect.aspx?data=Mzk4NwEBMjk%3d-RZJucIISQRQ%3d,,"Need: need based waivers offered, outside of LSAC fee waivers

Merit: waivers offered based on CRS or other merit system

Service: waivers offered based on some form of service. Ex: military, Teach for America, Peace Corps., etc.

Undergrad: waivers offered to the school's undergraduate students who apply

Notes:
Some schools welcome requests, others don't. If you have any knowledge about schools, please leave a comment.

Some schools only send CAS waivers if they're solicited, these are obviously harder to research. If you have any knowledge about these, please leave a comment!

Just because a category of waiver is not listed, doesn't mean the school doesn't provide them. Schools change their policies all the time and don't always advertise who they grant waivers to."
Stanford,2,$85,Yes - need,,https://www-cdn.law.stanford.edu/wp-content/uploads/2019/10/SLS-Application-Fee-Waiver-Form.pdf,,
"Harvard
",3,$85,Yes - need,,https://jdadmissions.law.harvard.edu/register/?id=545e3493-1e19-4548-8cce-0ed596716111,,
Chicago,4,$85,"Yes - merit, service, undergrad",No,"https://www.law.uchicago.edu/feewaivers

Does not take individual requests outside of service and Chicago undergrads",,
Columbia,5,$85,"Yes - undergrad, merit",,https://www.law.columbia.edu/admissions/jd/apply/faq/submission,,
NYU,6,$85,"Yes - service, merit",No,https://www.law.nyu.edu/jdadmissions/applicants/admissionsinformationandinstructions,,
Penn,7,$80,"Yes - need, merit, service",No,https://www.law.upenn.edu/admissions/jd/faqs.php#waivers,,
UVA,8,$80,"Yes - service, need, merit",,"https://www.law.virginia.edu/admissions/frequently-asked-questions-jd-admissions

Service includes military, even though it's not listed",,
Michigan,9,$75,"Yes - service, need, merit, URM Status",No,https://www.law.umich.edu/prospectivestudents/admissions/applyingtomichigan/Pages/ApplicationFee.aspx,,
Duke,10,$80,"Yes - merit, need",No,https://law.duke.edu/apply/faq/#fee,,
Northwestern,10,$75,"Yes, merit, need",No,Filling out registration form gets everyone a fee waiver until Dec. 1: http://www.law.northwestern.edu/admissions/applying/index.html,,
UC Berkeley,10,$75,"Yes - need, service, other",,"In addition to need and service, Berkely offers waivers to those that have participated in 'Honors/Research' (Fulbright, Truman, Rhodes, etc.) and who have an educational/socio-economic disadvantage (CYDL participant, gates scholar, pell grant, etc.)

https://www.law.berkeley.edu/admissions/jd/applying-for-jd-degree/",,
Cornell,13,$150,"Yes - merit, service, need",No,https://www.lawschool.cornell.edu/admissions/FAQ/admission_and_preparation.cfm,,
Georgetown,14,$85,"Yes - merit, service, need",No,https://www.law.georgetown.edu/admissions-aid/jd-admissions/first-year-applicants/application-requirements/,,
UCLA,15,$75,Yes - merit,No,https://law.ucla.edu/admissions/apply/fee-waiver/,,
U. Texas (Austin),16,$70,"Yes - merit, service, other",,"Texas residents are eligible for fee waivers

https://law.utexas.edu/admissions/apply/application-fee-waiver/",,
U. of Southern California,17,$75,No application fee until February 1,,https://gould.usc.edu/academics/degrees/jd/application/,,
Vanderbilt,18,$70,Yes - merit,No,https://law.vanderbilt.edu/prospective-students/admissions/,,
Washington University (St. Louis),18,$0,N/A,Yes (solicited),https://law.wustl.edu/admissions/jd-admissions/jd-application/,,
Minnesota,20,$60,"Yes - merit, need, service, other",No (solicited),"Military, need, and first-gen students seem to be considered

https://fap.lsac.org/prospect.aspx?data=Njg3NAEBNDY%3D-c9zosYKHAKE%3D",,
Notre Dame,21,$75,"No application fee for ND App; need, merit and service for LSAC app",No,https://law.nd.edu/admissions/apply/fee-waiver-application/,,
George Washington,22,$0,N/A,No,https://www.law.gwu.edu/jd-application-checklist-0,,
Boston U.,23,$85,"Yes - need, merit, service",,https://www.bu.edu/law/admissions/jd-admissions/application-instructions/fee-waiver/,,
U. California (Irvine),23,$0,N/A,Yes,https://www.law.uci.edu/admission/apply/,,
Alabama,25,$40,"Yes - merit, service",Yes (unsolicited),https://www.law.ua.edu/admissions/application/faq/,,
Emory,26,$80,"Yes - merit, service*, alumni",Yes (unsolicited),"*Service waivers only explicitely available to Teach for America participants

http://law.emory.edu/admission/juris-doctor/jd-admission-faqs.html",,
Arizona State,27,$0,N/A,Yes (unsolicited and solicited),https://law.asu.edu/admissions/apply/jd,,
Boston College,27,$75,Yes - merit,,No fee waiver information on their website,,
U. Georgia,27,$50,Yes - merit,No (solicited),No fee waiver information on their website,,
Iowa,27,$0,N/A,,https://law.uiowa.edu/apply,,
U. California (Davis),31,$0,N/A,,https://law.ucdavis.edu/jd/how-to-apply.html,,
U. Florida,31,$30,Yes - merit,No (solicited),https://www.law.ufl.edu/admissions-2/apply/standards-for-admission/the-jd-application,,
Wake Forest,31,$75,Yes,Yes,No fee waiver information on their website,,
Indiana - Bloomington,34,$50,"Yes - merit, need",No,https://www.law.indiana.edu/admission/jd-apply/questions-and-answers.shtml#financial,,
Ohio State,34,$60,Yes,,https://moritzlaw.osu.edu/admissions/llm/application-process/,,
U. North Carolina (Chapel Hill),34,$75,Yes - merit,No,Can attend a webinar for a fee waiver,,
Wisconsin (Madison),34,$60,"Yes - need, merit",,https://law.wisc.edu/prospective/application_procedures.html,,
Washington & Lee,34,$0,N/A,No,https://law.wlu.edu/admissions/applying-for-admission/jd-application-information,,
Brigham Young,39,$0,N/A,Yes,https://law.byu.edu/departments/admissions/admissions-info/how-to-apply/,,
Fordham,39,$70,"Yes - merit, need, service",,"https://www.fordham.edu/info/21176/apply

Doesn't seem to matter if you have an LSAC Fee Waiver. They still make you apply with a form and supply a lot of information, including past financial aid given for undergrad (for each individual year).",,
U Arizona,39,$0,N/A,,,,
U Illinois,39,$0,N/A,,https://law.illinois.edu/admissions/jd-admissions/jd-faq/,,
