Columbia ,UT Austin,Alabama ,Penn Carey,Vanderbilt,UVA,Georgetown,Boston University,UCal Berkeley,UNC,University of Florida,William and Mary,Stanford,Florida State University
2/27,3/3,3/17,,3/15,,my wave probably last week of march or last week of april,,,3/3,,,,
or,2/22,2/22,,2/14,2/22,on a wednesday,,2/6,2/10,2/22,,,
3/6,2/20,2/3*,,1/19,2/20,,2/15,1/17,12/21,02/02,,,
,2/17,1/4,,12/16,2/17,,2/8,1/3,12/02,1/26,,,
2/15,02/07,12/9,,,2/15,3/7,2/6,12/5,,1/17,,,
2/8,1/31,11/10,1/12,,2/13,2/15,1/31,11/21,,12/16,,,
2/6,1/13,,s,,,2/7,1/17,,,11/21,,,
1/31,01/09,,,,,1/31,1/9,,,,,,
1/18,01/05,,,,,1/24,1/4,,,,,,
1/9,12/21,,,,,1/18,12/19,,,,,,
1/4,12/15,,,,rejections on mondays every week,1/10,12/12,,,,,,
12/19,r wave after initial,,1/12 was late sep and early oct app,,rolling admissions,12/20,,,,3 days after big r wave,,,
12/12,a few days after waitlist,,1/24 jan 9 and earlier apps,,,,looks like it was every week but an influx of applications around the time of 2/15 which is deadline ,,,,,,
,,,2/7,,,waitlist waves shoirtly after,deadline for 7 of t14 is 2/15 and the othe is 3/1,,,,,,
,likely mid march,,2/15,,,two weeks after big wave of apps ,implied top students that want to attend is sometime before then,,,,,,
probably 3/29 or on a tuesday thereof,,,2/21,,,pref tuesday,,,,,,,
,,,,,,,,,,,,,
,,,every week a decision and then they have a cutoff,,,,4/1,,,,,,
