School,BAH,,Applied,Dec,dec,A/O 21mar,p,AO 2/7,Rank,Pref,AO 2/14,med salary,tuition,,Votes,7sage,Acceptance,Yield,Class size,Bar pass rate ,link,Fee,mil fee waiver,submitted
Florida State University,"$1,449",,12/30,1/13,A,4,15,3*,47,8,,"$54,005","$20,690",,2,96%,,29.46%,157,,https://law.fsu.edu/admissions/admissions,$75.00,no,
UCal Berkeley,"$3,501",,1/17,2/6,A,1,4,1*,9,2,,"$160,316","$59,306",https://aces2.lsac.org/YourStatus/appstatus/apponlinestatus.aspx,,,,,,,,,4833SH29TCMIG223469,
UNC,"$1,887",A,1/17,4/14,A,6,12,10,23,7,,"$68,778","$24,482",,,88%,15.46%,44.92%,209,,https://law.unc.edu/admissions/apply-now/,$120.00,pending,
William and Mary,"$1,950",,2/2,2/5,A,3,14,2*,30,4,,"$70,083","$28,000",,,,,,,,,,5115S7Y3WM6KQ22360A,https://georgetownuniversity-kmzbf.formstack.com/forms/service_based_fee_waivers
Harvard,"$4,077",,1/11,2/15,R,,1,1,4,1,,"$172,423","$71,734",https://jdadmissions.law.harvard.edu/apply/status,2,3%,6.90%,54.01%,562,,https://hls.harvard.edu/jdadmissions/apply-to-harvard-law-school/jdapplicants/jd-application-components/,$130.00,no,
Penn Carey,"$2,268",R,1/10,3/17,R,,3,4,6,2,,"$179,672","$73,008",20745,,8%,9.39%,35.96%,309,,https://www.law.upenn.edu/admissions/jd/,$125.00,2926SYPJMQZN922356Q,https://upenn.co1.qualtrics.com/jfe/form/SV_bKJayfqjGC7UR5H?Q_JFE=qdg
UT Austin,"$2,313",R,1/6,3/17,R,,9,6,17,3,,"$106,117","$36,429",https://utdirect.utexas.edu/utdirect/index.WBX,,,,,,,,,waived,
UVA,"$1,905",R,1/10,4/12,R,4,8,7,8,3,,"$175,653","$68,500",,,12%,9.66%,42.00%,299,,https://www.law.virginia.edu/admissions,$130.00,5820SMMNLLT9G22354X,
Alabama ,"$1,455",A,1/6,4/28,WL,8,13,11,25,5,,"$63,572","$24,390",,,,,,,,,,took too long,30Dec
Columbia ,"$3,642",R,1/6,3/24,WL,3,5,5,4,2,,"$185,760","$78,278",10000,,,,,,,,fee waiver,waived,
Georgetown,"$2,679",WL/A,1/11,3/27,WL,2,7,3,14,2,,"$145,898","$71,996",no yr,2.5,25%,12.88%,28.58%,510,,https://www.law.georgetown.edu/admissions-aid/jd-admissions/first-year-applicants/application-requirements/,$130.00,pending,
Vanderbilt,"$2,076",,1/10,3/10,WL,2,6,2,17,2,,"$129,252","$68,816",https://admissions.law.vanderbilt.edu/account/login?r=https%3a%2f%2fadmissions.law.vanderbilt.edu%2fportal%2fstatus,1.5,44%,14.25%,15.19%,154,,https://law.vanderbilt.edu/admission-interview-faqs.php,$115.00,pending,
Boston University,"$4,077",A,1/13,,,5,10,8,17,4,,"$109,286","$62,534",,,,,,,,,,waived,
Stanford,"$4,233",R,2/8,,,1,2,0,2,1,,"$163,869","$68,997",,,,,,,,,,"didn't, could've",
University of Florida,"$1,779",WL,1/20,,,7,11,9,21,4,,"$63,869","$21,999",,,,,,,,,,5812STYEBIDLX23003I,
UGA,,,?,0,,,,,29,,,"$65,840","$18,994",,,,,,,,,,,
UCLA,,,will,0,,,,,15,n,,"$110,067","$53,910",,,,,,,,,,,
Duke University,,,,0,,,,,11,6,,"$168,296","$72,632",,,23%,14.45%,26.91%,282,,https://law.duke.edu/apply/jd/,$125.00,pending,
Northwestern,,,,0,,,,,13,,,"$176,087","$72,212",,,,,,,,,,,
Washington University,,,,0,,,,,16,,,"$93,342","$65,204",,,,,,,,,,,
Southern California,,,,0,,,,,20,f,,"$99,325","$73,998",,,,,,,,,,,
GW,,,,0,,,,,25,,,"$87,242","$67,380",,,,,,,,,,,
,,,,,,,,,,,,https://www.lawschooltransparency.com/trends/costs/debt-income?scope=schools,,,,,,,,,,,,
